x	y
4	55
86	69
43	19
91	69
37	5
22	33
72	68
67	59
64	125
44	100
69	20
26	89
57	69
3	25
88	125
3	25
71	24
72	40
98	15
56	68
112	43
13	75
1	25
86	42
107	3
87	25
91	23
87	69
2	90
76	102
2	125
88	109
73	20
6	70
97	69
1	73
44	15
93	99
24	60
58	125
97	65
57	4
56	42
43	25
37	80
112	24
91	99
6	20
56	23
2	125
103	99
106	90
91	89
99	125
54	125
93	125
18	90
54	125
66	34
102	25
77	70
102	34
6	125
106	24
19	125
72	18
3	25
77	3
87	8
33	104
11	3
36	78
91	57
42	75
11	102
79	40
3	94
37	24
72	100
72	94
62	55
94	65
44	65
91	23
91	90
22	70
87	95
23	4
103	99
56	75
42	68
101	18
6	57
11	25
91	103
11	94
16	55
96	24
102	93
22	18
76	102
57	14
2	78
96	122
91	112
57	54
61	69
26	102
67	23
68	25
1	72
23	94
91	89
86	94
21	73
22	63
71	23
71	43
11	40
111	59
11	89
73	89
36	79
42	44
88	25
44	60
22	74
36	2
31	3
114	70
111	24
73	40
23	25
102	125
57	89
71	3
67	120
96	22
108	90
69	5
23	34
2	34
2	44
11	57
54	125
91	67
27	70
77	59
14	55
87	115
16	4
88	125
72	68
36	102
78	104
1	62
42	24
58	25
112	40
96	42
88	70
71	12
87	73
93	94
6	58
11	2
16	14
91	55
86	15
31	25
11	79
67	44
87	43
78	125
86	79
87	4
37	59
96	94
58	24
29	30
4	125
11	4
2	90
42	39
71	12
22	93
73	55
106	98
91	43
101	89
76	4
6	129
73	70
68	24
3	55
87	99
2	60
61	102
31	73
94	25
42	13
6	94
67	100
77	59
103	59
57	90
22	20
71	70
72	98
36	125
109	25
102	40
103	25
87	99
21	74
91	97
57	73
22	125
44	55
22	44
34	45
41	104
43	100
51	23
69	25
57	43
87	25
6	3
111	94
57	3
13	104
86	22
71	107
43	25
98	44
78	90
67	100
2	88
72	100
73	25
78	95
103	40
91	55
56	2
42	24
76	89
111	88
102	88
2	108
78	125
58	15
91	25
96	35
27	98
8	95
91	97
91	12
97	25
69	20
42	125
26	23
76	44
19	25
96	20
22	70
102	93
22	34
24	70
26	87
68	25
77	25
93	25
59	60
3	94
69	35
22	70
22	125
98	65
111	72
33	74
21	125
87	73
91	3
42	93
11	25
59	125
87	44
19	25
66	109
87	4
33	100
11	37
76	58
11	109
87	69
4	60
31	22
37	35
51	20
56	125
56	3
72	88
101	67
111	22
42	24
3	59
42	44
77	125
11	113
61	72
1	67
91	4
37	3
72	24
91	73
91	99
43	25
91	89
2	78
24	90
11	24
79	125
2	20
54	125
91	43
21	14
111	55
33	100
36	103
1	25
57	43
88	40
61	2
87	3
87	109
21	125
103	25
61	125
91	73
41	69
73	74
99	125
68	14
96	22
96	94
2	125
3	25
97	24
32	25
22	100
103	69
2	125
61	24
91	3
72	25
96	104
57	80
54	125
21	98
89	5
42	13
1	24
62	23
112	3
88	44
31	24
87	93
34	75
11	65
67	18
97	73
97	103
91	72
67	15
72	63
102	100
98	99
44	60
3	64
68	100
103	35
61	44
18	90
87	43
31	89
96	87
11	37
73	19
37	25
74	90
32	69
6	24
11	65
26	43
89	10
57	55
102	44
72	40
26	20
33	60
1	69
76	88
42	14
62	78
18	90
86	40
76	14
61	2
102	98
88	44
72	125
96	37
73	55
57	79
42	89
37	89
32	70
94	25
59	125
6	40
2	98
41	100
21	100
87	25
91	23
94	95
48	125
78	25
69	35
73	20
88	125
69	25
98	65
77	23
101	97
6	64
73	69
88	100
87	70
72	20
102	25
103	129
18	24
107	25
87	103
32	75
87	10
68	69
6	55
102	88
6	94
103	59
96	24
11	25
58	4
29	30
97	23
24	100
102	125
87	99
91	24
89	55
87	79
103	25
76	43
57	35
91	72
87	24
87	55
91	25
68	25
76	20
96	80
128	129
2	13
26	88
86	98
31	3
31	4
86	33
91	100
61	65
32	69
119	125
42	34
6	59
86	99
64	25
54	125
11	24
1	74
96	25
6	22
57	25
93	125
3	55
21	69
22	24
87	3
2	90
31	24
6	93
23	90
69	20
12	114
22	58
2	18
76	102
73	25
29	30
26	93
37	43
68	24
3	60
72	74
24	30
112	23
44	70
89	65
6	100
11	2
22	4
103	5
87	94
89	25
91	100
91	43
37	54
72	108
102	125
33	104
87	24
3	14
12	69
91	25
86	75
87	3
42	5
91	70
31	94
57	25
91	100
66	18
31	23
4	70
72	113
88	80
57	18
87	103
22	5
94	100
91	73
11	100
31	3
66	98
58	125
16	3
122	23
41	67
106	69
72	58
111	90
98	59
91	59
57	100
57	19
58	24
91	57
98	44
37	88
7	100
37	70
93	25
16	30
98	14
26	14
91	70
56	72
72	25
22	19
86	19
87	103
76	90
11	88
87	80
26	8
91	22
111	22
11	43
22	90
57	103
22	3
43	20
76	57
24	60
96	55
11	89
91	12
79	40
88	74
61	88
4	70
87	73
94	25
108	60
11	55
72	103
41	25
3	14
69	55
76	99
78	5
72	94
19	125
73	94
42	13
96	72
43	34
6	73
31	25
69	55
12	100
73	104
58	125
37	43
6	24
73	54
6	70
52	103
72	103
46	59
16	68
22	35
3	25
96	25
23	95
91	37
99	25
22	25
36	2
57	65
87	70
18	60
59	60
11	102
22	78
88	115
91	77
106	93
68	15
72	40
64	10
72	34
57	24
11	70
111	18
6	34
11	57
1	95
72	103
89	125
96	87
57	103
42	79
23	100
11	22
33	104
26	25
57	74
72	40
72	113
23	100
73	60
19	125
3	29
1	57
112	73
2	125
88	10
74	125
127	69
16	88
42	125
12	80
23	4
2	109
63	90
87	59
36	70
43	25
24	125
2	43
3	20
24	90
42	93
128	24
101	24
6	57
57	8
22	3
97	55
58	125
57	69
42	93
97	54
72	125
117	65
2	98
6	25
11	43
36	93
73	25
72	90
16	100
23	4
91	70
91	58
22	33
26	60
42	24
2	68
72	35
77	100
1	3
36	78
97	59
102	98
57	94
22	15
102	23
6	4
101	38
34	40
1	25
87	70
87	70
22	33
73	99
89	100
2	125
19	25
104	35
2	99
69	55
42	23
73	74
57	43
21	62
16	2
71	17
91	24
37	60
8	24
43	25
73	65
22	30
3	25
76	68
1	67
88	25
3	94
24	90
112	3
88	125
42	58
67	24
37	114
54	25
2	4
72	8
87	69
6	25
87	4
24	70
22	90
42	33
57	100
1	8
21	23
81	14
91	73
3	70
94	125
102	94
67	25
59	60
6	57
112	65
62	25
108	24
96	88
88	25
12	25
3	44
96	72
1	3
67	60
86	4
112	60
6	69
44	70
3	55
31	74
99	125
1	67
88	89
91	73
31	125
26	125
21	40
3	99
11	57
1	7
21	60
1	74
9	45
31	72
42	100
11	72
96	22
22	68
76	2
91	97
41	73
6	60
56	25
22	24
97	59
91	33
11	73
11	2
68	125
11	13
77	65
1	70
86	2
102	63
77	14
31	60
72	125
91	100
2	25
69	20
16	22
6	25
129	25
87	40
2	24
78	79
3	25
23	24
74	90
74	80
72	69
108	90
62	90
4	60
21	90
96	73
2	40
112	60
33	44
21	97
11	60
122	125
32	89
104	25
91	42
1	60
62	25
2	90
18	59
14	40
91	43
24	90
8	5
16	108
72	25
87	20
109	25
98	120
31	25
73	69
56	63
56	98
17	23
69	125
19	25
42	94
43	95
76	30
77	103
68	90
62	3
112	43
104	95
88	40
96	44
1	98
34	25
31	114
76	22
89	100
74	90
24	90
103	19
96	72
67	59
26	125
6	24
68	90
72	88
43	125
11	125
91	73
2	109
94	40
19	125
56	102
22	104
91	77
4	90
67	33
102	98
4	55
33	104
2	63
56	94
117	59
76	24
71	24
72	59
91	97
77	73
102	125
77	60
27	74
6	125
72	73
101	104
1	25
86	3
3	59
11	74
23	29
56	3
111	14
57	25
72	118
93	75
76	73
21	23
86	8
43	19
72	73
31	69
97	38
6	69
33	60
16	8
52	60
91	37
72	99
64	80
31	25
102	3
96	44
66	60
23	100
42	44
3	40
2	125
11	2
121	103
26	47
7	94
2	44
102	88
61	4
113	90
11	73
56	108
26	58
23	80
11	73
6	69
97	43
61	2
3	80
72	40
26	87
91	97
28	24
57	24
26	24
91	100
23	19
43	30
3	79
102	15
31	129
21	125
16	120
43	24
3	14
2	25
76	14
87	103
111	87
86	123
57	55
122	14
11	25
37	3
41	100
43	100
11	22
102	3
91	25
89	125
43	69
62	25
102	125
108	4
96	2
24	100
3	100
91	25
91	19
1	44
14	55
91	25
86	43
73	95
23	70
86	78
31	88
72	103
42	25
34	25
86	22
37	3
6	64
11	63
26	35
26	103
91	25
62	3
106	34
56	24
21	52
69	55
44	100
57	25
109	125
99	40
6	54
6	2
91	80
76	88
6	25
19	125
21	125
91	4
102	74
31	30
69	35
103	40
79	25
43	35
28	24
102	100
88	24
91	104
26	69
102	89
71	17
33	39
31	87
58	125
59	125
44	15
6	88
11	60
23	79
87	125
2	58
91	54
16	44
74	25
4	100
71	57
11	23
91	59
68	25
94	40
97	89
91	125
56	2
16	59
23	5
22	25
91	24
41	125
96	69
2	74
8	74
71	4
63	70
34	25
24	90
41	58
4	20
99	40
21	43
89	125
42	54
87	114
118	60
109	25
72	5
43	24
74	70
6	18
67	25
69	20
97	89
103	89
6	42
87	55
94	25
73	70
78	79
44	75
86	72
61	25
4	60
61	89
52	24
72	93
23	55
91	37
4	90
111	72
42	25
56	79
3	44
91	3
73	74
106	42
22	60
31	20
91	97
91	24
86	2
43	40
99	25
6	29
3	69
91	57
1	17
94	125
69	100
42	25
26	59
16	4
102	40
68	89
62	59
16	73
6	89
72	75
2	55
4	90
56	15
2	115
2	78
18	125
69	35
23	4
99	130
87	94
57	103
73	69
43	59
11	37
42	24
31	25
18	4
112	89
68	40
46	129
87	43
73	25
11	4
98	44
31	125
69	35
91	65
24	90
69	25
112	100
91	112
91	59
96	78
21	59
103	40
43	24
98	24
91	25
37	14
123	4
76	73
42	25
61	40
1	44
6	43
98	125
37	44
23	4
14	25
11	89
26	24
96	23
42	90
44	70
87	14
57	65
111	125
16	87
26	100
91	43
22	89
43	89
43	60
72	129
86	2
2	40
2	4
71	24
2	98
6	93
23	89
24	20
88	94
26	20
88	104
22	33
37	25
106	20
91	103
103	69
96	60
77	58
37	89
26	43
91	125
91	58
88	75
16	40
13	125
26	94
42	98
91	74
36	2
96	90
91	60
59	60
74	90
87	33
57	44
52	29
11	2
22	125
36	42
102	25
37	100
87	98
111	14
43	69
42	88
2	58
8	44
68	14
102	58
11	87
113	125
87	73
76	69
103	89
97	69
61	40
36	125
91	94
73	100
11	125
6	73
86	22
88	4
98	90
58	125
2	54
91	73
37	23
1	25
43	55
3	25
76	98
43	64
26	57
4	55
39	45
26	68
8	74
37	115
102	95
102	78
111	125
2	24
76	23
11	2
8	25
23	55
2	98
43	59
88	40
22	25
73	99
87	73
56	125
11	64
2	89
37	14
91	3
51	55
63	25
11	89
108	74
91	125
76	94
79	125
87	43
74	90
96	87
87	73
14	40
91	69
37	123
31	78
26	125
43	19
102	75
18	24
71	25
73	20
111	87
61	2
103	55
2	8
16	75
91	62
3	54
24	60
37	89
3	129
2	89
88	40
31	42
102	14
3	19
26	89
23	80
16	69
102	25
59	125
16	24
76	43
57	64
81	94
72	100
37	59
111	70
43	35
73	55
11	55
76	72
58	90
76	90
16	102
11	100
22	70
71	25
76	24
42	33
26	125
73	89
102	93
62	89
72	69
91	3
104	70
24	60
73	54
43	99
72	88
61	94
57	25
2	18
57	25
61	2
57	23
31	64
91	60
94	100
26	125
68	34
88	94
6	22
61	70
24	90
71	90
69	20
88	25
22	60
91	99
46	60
66	14
56	18
1	17
31	57
2	89
81	125
58	90
72	118
91	3
74	55
71	89
2	8
26	43
26	3
11	37
42	4
94	100
76	99
31	2
91	73
102	65
61	24
1	4
42	90
11	10
51	54
108	44
91	37
86	42
106	73
16	3
96	59
96	68
3	60
96	102
1	87
102	93
72	5
11	87
69	100
122	43
23	80
41	17
31	69
6	43
37	43
6	75
67	100
1	94
69	100
2	103
86	25
37	55
72	98
111	109
26	2
112	3
31	95
99	25
23	100
59	60
72	93
42	34
37	44
22	24
102	93
1	17
57	55
42	24
1	100
16	63
6	87
72	34
123	24
18	70
87	44
31	23
76	60
2	90
111	125
103	25
21	77
106	60
42	90
67	74
91	59
72	103
91	60
2	33
42	33
81	55
43	19
24	90
88	115
73	14
6	25
21	34
26	128
72	90
91	44
102	59
98	30
98	14
42	40
91	102
44	70
91	104
72	20
37	24
44	15
24	90
3	25
76	22
102	99
96	72
34	25
24	20
91	15
98	40
61	100
102	3
103	100
91	43
22	88
6	3
43	125
91	70
11	78
42	34
44	60
91	14
91	65
72	125
72	4
16	24
31	57
21	99
67	100
73	74
87	100
23	94
62	40
78	125
86	102
8	24
91	37
61	2
23	95
34	75
68	125
2	15
21	23
103	69
61	28
56	39
61	88
3	125
111	23
57	43
118	125
68	4
87	14
96	23
42	75
22	3
34	75
2	14
76	72
57	3
52	3
107	43
63	125
37	60
91	3
26	58
13	80
78	60
87	25
11	78
24	90
26	14
26	125
37	90
73	25
2	129
106	2
6	14
111	42
8	60
57	69
89	25
22	3
106	42
12	70
12	24
102	40
106	72
2	88
86	125
111	72
22	4
1	12
22	60
21	77
72	94
78	125
86	58
67	60
11	43
58	125
91	55
43	35
26	40
57	43
91	100
86	98
57	23
31	72
34	25
21	38
12	23
12	3
6	103
1	19
103	64
37	69
92	38
57	40
87	100
3	40
22	70
67	18
11	87
97	69
96	59
91	97
2	88
2	129
57	23
72	4
22	125
43	30
103	55
71	77
6	20
59	25
97	25
17	43
3	40
102	60
42	24
57	89
22	70
43	69
104	65
1	3
2	40
36	14
79	100
6	22
23	70
43	90
42	78
26	23
91	67
102	54
91	100
23	14
113	59
1	74
91	70
57	14
26	24
42	58
6	104
99	25
111	25
111	94
42	90
8	90
68	125
96	25
56	72
36	89
9	5
56	22
102	18
66	98
13	54
2	125
6	23
61	18
86	72
94	95
26	74
57	73
43	125
91	2
73	25
21	125
6	3
1	23
3	94
42	93
104	90
23	90
21	104
37	25
11	18
98	4
89	70
112	40
37	73
93	99
76	73
89	60
111	89
97	23
91	43
2	24
72	40
59	60
91	60
96	42
56	88
3	44
23	94
96	100
88	14
91	57
24	90
11	25
112	80
58	70
62	54
91	102
8	74
66	102
97	69
91	104
88	104
86	93
101	24
121	2
11	87
3	125
111	125
57	104
58	94
76	3
22	24
31	60
2	125
3	40
103	35
61	103
73	69
23	55
73	70
56	24
102	8
42	34
57	24
33	104
91	3
76	40
37	89
94	100
36	72
72	95
37	88
22	23
76	43
42	100
3	89
36	43
88	34
72	98
96	65
103	24
3	14
1	77
51	3
56	42
31	20
57	109
68	24
101	24
72	99
88	89
76	42
59	125
42	90
87	3
6	57
16	65
13	54
1	100
91	20
103	10
111	54
4	20
36	2
72	13
16	3
24	70
37	43
23	20
91	55
22	99
72	90
97	3
6	4
91	3
16	100
101	44
76	73
74	65
44	100
19	125
24	70
26	14
74	90
91	25
2	78
42	98
91	112
102	104
76	65
91	100
98	14
102	93
56	70
73	69
26	72
31	70
61	44
2	75
1	3
72	88
72	59
108	60
76	125
31	125
24	90
52	59
37	55
61	42
79	125
76	14
16	87
76	25
87	24
73	100
22	104
102	88
87	25
26	2
112	24
31	73
77	23
77	119
76	3
3	94
81	60
91	129
57	14
76	72
46	43
3	30
18	125
37	73
43	69
57	43
3	25
37	123
88	4
57	55
87	4
33	24
111	20
3	100
2	123
76	108
91	22
14	25
31	42
24	65
3	25
42	60
26	69
42	78
37	4
4	60
107	100
43	70
86	90
103	20
66	4
88	60
22	25
24	90
2	68
27	90
74	60
57	103
76	60
56	125
3	40
97	24
73	65
96	2
76	34
73	70
96	44
3	64
43	60
96	87
42	44
26	90
11	8
67	18
11	3
11	99
87	60
16	5
79	100
77	25
86	94
44	60
31	125
62	94
87	3
88	35
69	100
11	3
33	74
42	68
57	94
91	112
86	24
91	80
73	125
96	58
59	65
91	89
88	25
88	74
22	24
87	3
88	125
108	100
111	59
76	75
96	74
94	25
31	25
6	99
42	59
89	20
71	4
3	20
78	125
96	5
6	23
11	3
37	55
91	112
98	90
86	93
57	43
6	125
76	2
102	99
1	62
57	20
2	40
31	73
13	44
103	60
11	35
2	74
91	69
16	25
22	13
44	15
103	95
24	90
8	24
43	94
73	114
57	94
88	4
102	75
36	102
87	73
61	33
73	114
3	25
2	103
2	40
37	23
26	70
37	43
91	73
2	99
73	60
102	39
61	60
16	125
21	89
11	87
88	19
26	87
16	4
24	90
76	2
42	68
42	8
73	74
42	75
88	89
11	25
44	90
2	4
3	70
93	74
11	23
102	14
2	24
104	90
8	100
91	114
89	25
26	42
6	3
129	25
58	125
31	43
14	100
6	42
43	89
56	13
66	88
11	3
43	99
2	24
72	4
26	125
23	100
81	94
91	100
61	93
1	59
37	20
37	79
22	54
11	43
73	55
102	90
87	4
76	43
58	40
69	100
19	125
87	3
91	22
11	23
56	20
91	62
26	5
22	40
96	4
91	34
2	94
1	7
94	95
106	33
23	4
96	44
56	64
2	125
91	90
11	37
91	25
2	59
37	88
22	60
61	25
91	89
72	24
3	100
13	100
82	103
42	24
91	113
11	72
72	88
26	123
2	24
76	70
11	60
103	34
91	97
91	125
57	3
91	24
76	40
2	40
86	37
76	42
6	74
2	104
3	89
78	25
3	65
56	34
37	74
31	18
91	69
91	35
26	94
91	40
2	75
11	2
28	44
1	100
1	37
22	59
26	42
2	24
6	24
103	25
43	69
43	69
71	97
68	25
57	3
86	72
96	14
26	99
16	125
72	68
62	90
41	4
72	94
3	25
87	95
91	34
57	3
13	45
6	100
68	14
17	73
26	100
73	80
57	100
73	95
22	125
91	97
91	3
89	70
23	55
14	25
21	88
11	64
22	25
99	45
2	15
108	90
89	20
91	89
33	25
14	40
34	25
18	25
59	125
44	20
72	3
41	125
93	25
103	25
59	125
3	89
21	117
73	109
81	102
111	20
22	68
12	73
6	69
91	89
94	100
76	68
102	40
72	24
26	60
67	25
96	44
43	89
97	25
91	25
57	14
12	3
91	5
1	24
3	59
3	94
98	125
107	73
33	4
91	80
37	14
2	18
71	60
3	60
26	24
11	87
69	20
37	94
91	114
33	34
93	74
26	42
102	3
26	114
91	99
26	23
1	73
87	73
26	42
58	19
96	24
1	94
57	109
61	13
88	40
91	90
22	25
96	100
37	114
23	24
101	25
96	3
73	25
86	74
57	3
42	20
72	103
6	43
31	19
23	99
3	79
76	43
22	60
93	95
3	89
91	40
1	87
86	125
117	60
109	75
72	89
99	25
11	20
17	29
72	34
3	14
23	89
88	100
102	59
67	33
22	43
42	40
68	49
71	67
87	3
6	42
23	89
72	60
6	120
2	75
16	42
91	25
87	75
74	95
6	23
22	98
88	60
91	80
11	3
122	88
46	72
102	88
102	25
73	89
3	25
87	3
72	14
96	43
37	3
42	5
22	44
3	20
88	125
73	30
18	25
91	44
22	125
37	3
88	25
99	40
72	95
57	3
6	94
72	9
58	115
57	3
3	25
103	59
76	4
76	87
91	99
112	43
26	57
76	80
93	94
56	103
86	22
22	88
77	24
11	57
58	79
16	3
102	54
81	59
36	59
88	94
37	55
11	122
67	90
101	57
76	24
6	59
37	70
57	3
56	78
6	95
3	100
26	44
106	25
22	40
93	100
91	77
46	2
42	98
69	35
4	90
32	58
73	114
106	42
46	88
96	109
8	44
111	24
96	25
4	100
44	75
43	125
122	40
51	60
87	43
108	24
22	99
16	69
61	99
111	88
31	87
106	72
87	99
76	33
88	74
11	5
57	69
86	90
88	100
23	79
42	100
97	25
1	74
87	74
72	53
72	59
91	73
54	125
102	70
22	88
23	59
2	44
74	20
77	23
3	44
93	70
36	94
14	55
74	90
26	57
72	79
91	99
42	4
1	120
11	64
6	44
46	53
67	125
76	44
91	30
31	59
37	103
1	112
66	72
36	109
88	25
56	60
46	59
101	35
42	25
72	125
43	35
3	55
101	77
96	43
6	55
59	125
91	65
98	90
72	3
43	25
98	40
61	72
1	60
107	3
34	25
87	23
36	109
26	100
33	4
2	99
91	43
86	72
61	104
71	98
2	25
96	3
66	69
67	125
1	89
21	67
2	125
91	97
111	14
51	125
31	103
101	67
71	73
57	94
102	44
18	34
3	60
73	4
24	90
76	93
91	103
91	90
79	125
91	4
3	14
16	69
86	89
6	100
16	74
3	94
2	89
37	23
113	24
101	5
87	103
2	34
61	123
89	100
4	100
18	24
52	35
89	125
87	74
103	14
36	93
87	64
16	40
1	73
6	94
72	94
89	125
108	90
96	2
81	24
37	73
3	69
58	125
11	59
21	95
36	2
43	25
23	14
91	24
77	68
21	103
23	19
87	43
18	74
1	32
31	23
36	79
68	24
22	58
108	24
2	19
108	24
96	40
87	4
96	24
72	25
71	7
31	29
43	4
72	24
2	24
109	25
11	108
36	60
94	25
77	43
16	42
108	24
76	2
109	125
59	125
86	44
24	90
91	88
3	125
22	100
96	14
43	24
74	80
21	57
43	59
43	29
111	30
42	104
91	67
87	103
6	33
2	14
11	87
91	12
69	25
88	125
56	122
88	104
72	73
26	55
26	24
2	125
71	127
8	25
23	100
3	89
89	30
96	25
22	103
36	68
22	40
91	100
91	52
67	98
117	98
24	60
41	25
36	25
38	24
3	44
31	79
91	22
3	20
73	89
18	125
67	24
73	54
91	12
13	4
102	88
68	90
8	15
3	44
76	25
87	100
3	89
42	70
6	40
87	73
96	87
31	19
94	125
12	104
96	24
11	72
3	25
1	57
108	25
56	90
2	108
96	100
102	58
64	80
6	44
104	100
31	24
26	69
103	89
16	68
96	25
93	100
68	24
22	109
123	24
37	43
89	65
96	37
16	87
96	20
3	69
2	33
72	90
24	25
102	25
26	55
61	24
93	75
91	65
57	98
11	8
102	4
2	40
76	69
63	24
91	68
2	58
104	100
61	34
43	35
11	72
3	59
86	4
6	70
113	125
67	24
76	24
6	44
43	69
42	14
31	102
13	104
67	25
92	3
62	94
42	34
57	3
87	43
91	37
38	90
61	24
26	87
13	4
4	90
3	94
26	33
97	4
88	44
91	24
91	99
44	20
4	60
6	102
22	25
12	59
6	22
101	103
41	125
91	73
1	100
72	18
91	80
91	12
23	24
13	104
86	24
123	60
2	103
73	55
36	102
57	54
123	59
51	78
72	15
23	4
12	89
28	60
87	23
14	25
86	44
36	89
2	79
26	2
108	24
2	99
72	25
22	109
43	99
82	60
3	25
1	98
36	100
26	40
91	69
23	60
91	4
57	23
57	125
44	20
37	19
33	24
11	108
76	79
31	42
81	89
98	75
91	22
57	25
2	34
94	100
102	60
42	25
104	45
56	72
87	79
91	14
57	55
96	100
73	44
66	22
21	97
16	40
81	94
21	73
41	104
58	34
2	18
1	3
91	29
31	87
87	23
91	62
89	125
87	35
3	55
2	103
44	70
69	20
111	35
44	20
38	4
23	100
72	3
97	73
59	125
6	100
42	100
68	74
4	90
36	88
31	87
88	59
91	23
128	125
43	25
3	64
12	74
4	100
58	40
43	69
102	20
61	60
